timestamp,accX,accY,accZ
606760,228,19,-16694
606764,170,-142,-15429
606768,76,-230,-17017
606772,419,23,-16266
606776,435,-157,-15618
606780,573,51,-16725
606784,541,-29,-16254
606788,269,117,-16084
606792,392,282,-16316
606796,719,62,-15803
606800,142,790,-17287
606804,389,186,-15909
606808,269,368,-17051
606812,628,750,-16517
606816,708,236,-16474
606820,-96,80,-15706
606824,917,-189,-16989
606828,488,9,-16566
606832,415,-111,-16181
606836,458,74,-16833
606840,175,-142,-15827
606844,233,56,-17109
606848,190,72,-16011
606852,-53,-3,-16717
606856,300,-58,-16876
606860,217,-31,-15901
606864,-162,529,-17479
606868,674,336,-15177
606872,603,515,-16091
606876,22,223,-17170
606880,689,428,-15620
606884,429,236,-17184
606888,11,144,-15816
606892,547,498,-16972
606896,451,-103,-15309
606900,75,69,-16792
606904,459,-58,-16035
606908,648,330,-16737
606912,44,-233,-17421
606916,509,-150,-16214
606920,513,-235,-16537
606924,277,302,-17020
606928,567,-32,-16800
606932,256,266,-15158
606936,115,-20,-17448
606940,541,414,-14816
606944,378,-286,-17909
606948,175,314,-18234
606952,440,548,-14791
606956,44,120,-16702
606960,-135,-106,-16451
606964,869,253,-15753
606968,184,431,-16818
606972,565,91,-14865
606976,412,587,-18124
606980,102,-468,-18004
606984,586,-323,-14919
606988,377,186,-17519
606992,124,-389,-16522
606997,671,-93,-16662
607001,540,-34,-17665
607005,-222,201,-15566
607009,-158,-162,-16556
607013,547,89,-17642
607017,206,327,-15583
607021,190,148,-16709
607025,-128,180,-17476
607029,399,699,-15556
607033,287,418,-18010
607037,952,189,-16382
607041,-101,-72,-15878
607045,335,35,-17590
607049,518,-278,-15720
607053,315,-161,-16774
607057,377,-419,-17432
607061,48,600,-15583
607065,573,379,-17120
607069,332,-281,-16839
607073,482,-184,-16544
607077,366,307,-16056
607081,-6,-375,-17259
607085,244,-117,-16164
607089,544,-250,-16343
607093,680,57,-17170
607097,564,329,-16213
607101,-113,-126,-16689
607105,514,183,-17176
607109,538,218,-15857
607113,354,72,-17071
607117,248,-60,-15838
607121,298,115,-15888
607125,658,102,-17121
607129,555,159,-15527
607133,-34,343,-15716
607137,-87,-40,-17085
607141,522,199,-15384
607145,541,-138,-15849
607150,334,-407,-17681
607154,372,24,-15381
607158,52,-155,-16769
607162,489,102,-16484
607166,470,155,-16624
607170,314,-39,-16213
607173,474,56,-17278
607177,177,140,-17248
607181,492,305,-15428
607185,732,-179,-17298
607190,456,-169,-16846
607194,472,-17,-16178
607198,24,320,-16606
607202,527,-803,-15968
607206,508,234,-17365
607210,135,-199,-15554
607214,249,268,-16879
607218,303,163,-16484
607222,463,207,-15925
